date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:51:00	71889/71889	---M-Z	200	added ('OK')	text/html	date:Tue,%2030%20Jan%202024%2015:50:58%20GMT	https://www.Mofritech.co.ke/	C:/Users/James/Downloads/Mofritech/www.Mofritech.co.ke/index.html	(from )
18:51:01	114/114	---M--	200	added ('OK')	text/plain	date:Tue,%2018%20Jul%202023%2018:51:57%20GMT	https://www.Mofritech.co.ke/robots.txt		(from )
18:51:02	1150/1150	---M-Z	200	added ('OK')	image/x-icon	date:Wed,%2004%20Jan%202023%2006:26:22%20GMT	https://www.Mofritech.co.ke/assets/img/logos/favicon.ico	C:/Users/James/Downloads/Mofritech/www.Mofritech.co.ke/assets/img/logos/favicon.ico	(from https://www.Mofritech.co.ke/)
18:51:03	155758/155758	---M-Z	200	added ('OK')	text/css	date:Sat,%2026%20Oct%201985%2008:15:00%20GMT	https://www.Mofritech.co.ke/assets/node_modules/bootstrap4/dist/css/bootstrap.min.css	C:/Users/James/Downloads/Mofritech/www.Mofritech.co.ke/assets/node_modules/bootstrap4/dist/css/bootstrap.min.css	(from https://www.Mofritech.co.ke/)
18:51:03	26053/26053	---M-Z	200	added ('OK')	text/css	date:Wed,%2003%20Oct%202018%2022:12:52%20GMT	https://www.Mofritech.co.ke/assets/node_modules/aos/dist/aos.css	C:/Users/James/Downloads/Mofritech/www.Mofritech.co.ke/assets/node_modules/aos/dist/aos.css	(from https://www.Mofritech.co.ke/)
18:51:04	40622/40622	---M--	200	added ('OK')	image/webp	date:Tue,%2027%20Jun%202023%2015:29:54%20GMT	https://www.Mofritech.co.ke/uploads/img/pages/Mofritech-it-services.webp	C:/Users/James/Downloads/Mofritech/www.Mofritech.co.ke/uploads/img/pages/Mofritech-it-services.webp	(from https://www.Mofritech.co.ke/)
18:51:04	1426/1426	---M-Z	200	added ('OK')	text/css	date:Fri,%2007%20Jun%202019%2006:58:10%20GMT	https://www.Mofritech.co.ke/assets/css/bootstrap-touch-slider.min.css	C:/Users/James/Downloads/Mofritech/www.Mofritech.co.ke/assets/css/bootstrap-touch-slider.min.css	(from https://www.Mofritech.co.ke/)
18:51:05	57987/57987	---M-Z	200	added ('OK')	text/css	date:Sat,%2026%20Oct%201985%2008:15:00%20GMT	https://www.Mofritech.co.ke/assets/node_modules/animate.css/animate.min.css	C:/Users/James/Downloads/Mofritech/www.Mofritech.co.ke/assets/node_modules/animate.css/animate.min.css	(from https://www.Mofritech.co.ke/)
18:51:05	3351/3351	---M-Z	200	added ('OK')	text/css	date:Sat,%2026%20Oct%201985%2008:15:00%20GMT	https://www.Mofritech.co.ke/assets/node_modules/owl.carousel/dist/assets/owl.carousel.min.css	C:/Users/James/Downloads/Mofritech/www.Mofritech.co.ke/assets/node_modules/owl.carousel/dist/assets/owl.carousel.min.css	(from https://www.Mofritech.co.ke/)
18:51:06	1013/1013	---M-Z	200	added ('OK')	text/css	date:Sat,%2026%20Oct%201985%2008:15:00%20GMT	https://www.Mofritech.co.ke/assets/node_modules/owl.carousel/dist/assets/owl.theme.default.min.css	C:/Users/James/Downloads/Mofritech/www.Mofritech.co.ke/assets/node_modules/owl.carousel/dist/assets/owl.theme.default.min.css	(from https://www.Mofritech.co.ke/)
